,VaR_GARCH_n,loss_real,viol,year,exceedance,exceedance_ratio
2015-03-05,0.0153112994812204,0.0157888163559016,1,2015,0.00047751687468119974,1.0311872206057286
2015-05-18,0.0114849684319089,0.0139786173411662,1,2015,0.0024936489092573007,1.2171228352991508
2015-07-02,0.0141855587635307,0.0144576430083231,1,2015,0.00027208424479240045,1.0191803685232264
2015-08-21,0.0121815928011762,0.0175411011475098,1,2015,0.0053595083463336,1.4399677803887936
2016-06-24,0.0118387917654882,0.0122827162750381,1,2016,0.0004439245095499006,1.0374974506134997
2016-11-10,0.0105964608332046,0.0168549525312273,1,2016,0.006258491698022702,1.5906209437788295
2017-03-01,0.0088007459437886,0.0097061001841907,1,2017,0.0009053542404020998,1.1028724435615689
2017-03-07,0.0096433771682693,0.0134541261988011,1,2017,0.0038107490305318015,1.3951674775379255
2017-05-03,0.0084263565216531,0.0142690623036267,1,2017,0.005842705781973599,1.6933845923750879
2017-06-06,0.0101490019218398,0.0109878395312971,1,2017,0.0008388376094572991,1.0826522268807726
2018-01-26,0.0097135581756151,0.0121228288297495,1,2018,0.002409270654134401,1.248031731583451
2018-02-02,0.0113346641200123,0.011859978900085,1,2018,0.0005253147800726998,1.0463458620838364
2018-06-14,0.0092374358549106,0.0142826469995837,1,2018,0.005045211144673101,1.546170087015119
2018-07-10,0.0103097568571877,0.0136138671491323,1,2018,0.0033041102919445994,1.3204838230148035
2018-08-14,0.0105209211874795,0.0108015584701402,1,2018,0.00028063728266070065,1.026674212044728
2018-10-03,0.0085826810311269,0.009173801354958,1,2018,0.0005911203238310996,1.068873621387918
2018-10-09,0.0096287495925979,0.010840528942776,1,2018,0.0012117793501780997,1.1258501260755245
2018-11-12,0.0104075553289607,0.0167868030009843,1,2018,0.006379247672023599,1.612943911455586
2018-11-19,0.0135321472357237,0.0157483248389517,1,2018,0.0022161776032280003,1.163771319113162
2018-11-21,0.0160808874746215,0.0174807994067041,1,2018,0.0013999119320825988,1.0870543951191691
2018-12-21,0.0161652937048257,0.0181888561686634,1,2018,0.0020235624638377005,1.125179443119776
2019-05-01,0.0087154596349981,0.0088093918467354,1,2019,9.3932211737301e-05,1.0107776543832643
2019-05-21,0.0087316764995945,0.0161973676633914,1,2019,0.007465691163796901,1.8550123408882142
2019-07-31,0.0101363530693344,0.0183014764348106,1,2019,0.008165123365476201,1.8055287054057165
2019-09-16,0.0110277439430016,0.0117516570998239,1,2019,0.0007239131568222996,1.0656447194062488
2019-11-27,0.0097142535317903,0.0098730669169098,1,2019,0.0001588133851194995,1.0163484908644578
2020-01-07,0.009864484569015,0.0122124866206897,1,2020,0.002348002051674701,1.2380258223577065
2020-02-24,0.0096926764131732,0.0145204717467917,1,2020,0.0048277953336185,1.4980869192184216
2020-02-26,0.0127896180093344,0.0148406704317006,1,2020,0.0020510524223662004,1.1603685443043925
2020-02-27,0.0127613747151123,0.0170159537246463,1,2020,0.004254579009534002,1.3333950381141646
2020-03-05,0.0201789310344419,0.0205939119059618,1,2020,0.0004149808715199002,1.0205650572278384
2020-03-06,0.0193223890361108,0.0671457196841733,1,2020,0.04782333064806249,3.475021621740846
2020-03-17,0.0612753331530171,0.0784301385247232,1,2020,0.017154805371706106,1.2799626617919324
2020-06-10,0.0188493347663971,0.0258676807897816,1,2020,0.007018346023384497,1.37233918917373
2020-08-10,0.0136316565351542,0.0139133698838419,1,2020,0.0002817133486877014,1.0206661125858916
2020-09-04,0.0134674253395965,0.0203041160053772,1,2020,0.006836690665780699,1.5076464501109708
2020-10-27,0.0132218556588558,0.022409920296033,1,2020,0.009188064637177201,1.6949149101490284
2021-03-17,0.012092174347477,0.0170162349349288,1,2021,0.0049240605874518,1.4072105186342432
2021-06-16,0.0094740947770555,0.0140903170783576,1,2021,0.004616222301302099,1.487246793485931
2021-07-16,0.0103675712104285,0.0177049756162488,1,2021,0.0073374044058203,1.7077264536596357
2021-11-02,0.0093106104091848,0.0099191601879257,1,2021,0.0006085497787409015,1.0653608895653688
2021-11-24,0.0124006057874457,0.0305240587096649,1,2021,0.018123452922219202,2.461497384310634
2022-03-08,0.0209760728264186,0.0267974645811732,1,2022,0.005821391754754601,1.2775253405595908
2022-05-06,0.0201574932951463,0.0203130066635288,1,2022,0.00015551336838250107,1.007714916041666
2022-06-10,0.0130724840766918,0.0182157158653719,1,2022,0.0051432317886801,1.3934395145181677
2022-07-01,0.016829593473227,0.0211569886138801,1,2022,0.0043273951406531015,1.257130105224303
2023-02-02,0.0134375292039158,0.0185318143848913,1,2023,0.005094285180975501,1.379108770940642
2024-04-29,0.0101625459530208,0.010304677039585,1,2024,0.00014213108656420045,1.0139857755351112
2024-07-18,0.0103750184051308,0.0140241433420899,1,2024,0.003649124936959099,1.3517222615387827
2024-10-25,0.0124830785560167,0.0129505841932845,1,2024,0.00046750563726780103,1.0374511491832652
2024-11-08,0.0125829658443677,0.0143748486123182,1,2024,0.0017918827679505,1.1424054384406177
