,VaR_HS,loss_real,viol,year,exceedance,exceedance_ratio
2015-02-03,0.0157103262336667,0.0159652302284033,1,2015,0.0002549039947365994,1.016225251528536
2015-04-07,0.0156999867787495,0.0165707394131062,1,2015,0.0008707526343566981,1.05546199793845
2015-07-02,0.0139852808051142,0.0144576430083231,1,2015,0.00047236220320889984,1.033775668132181
2015-08-21,0.0139834075978378,0.0175411011475098,1,2015,0.0035576935496719995,1.2544225021533457
2015-08-31,0.0144595162155996,0.0196786883855387,1,2015,0.005219172169939102,1.3609506771954387
2015-12-04,0.0144709547417989,0.0148059544692254,1,2015,0.0003349997274265,1.0231498013368021
2016-11-10,0.0139834075978378,0.0168549525312273,1,2016,0.0028715449333895013,1.2053537317923506
2017-05-03,0.0139834075978378,0.0142690623036267,1,2017,0.0002856547057888993,1.0204281183817505
2018-06-14,0.0142709481106736,0.0142826469995837,1,2018,1.1698888910099264e-05,1.0008197695639682
2018-11-12,0.013827826462578,0.0167868030009843,1,2018,0.002958976538406299,1.2139871039323586
2018-11-19,0.0138544343719406,0.0157483248389517,1,2018,0.0018938904670111004,1.1366992268444245
2018-11-21,0.0139815217907908,0.0174807994067041,1,2018,0.0034992776159133,1.2502787370555162
2018-12-21,0.0142691981505862,0.0181888561686634,1,2018,0.003919658018077199,1.2746936426778945
2019-05-21,0.013827826462578,0.0161973676633914,1,2019,0.0023695412008134017,1.1713603513340327
2019-07-31,0.013827826462578,0.0183014764348106,1,2019,0.004473649972232601,1.3235251747148808
2020-02-24,0.0138319852856291,0.0145204717467917,1,2020,0.0006884864611625997,1.049774956157444
2020-02-26,0.0142691981505862,0.0148406704317006,1,2020,0.0005714722811144008,1.0400493619251425
2020-02-27,0.0142850252470558,0.0170159537246463,1,2020,0.0027309284775905024,1.1911742142810253
2020-03-05,0.0145236737336408,0.0205939119059618,1,2020,0.006070238172321002,1.4179547326418294
2020-03-06,0.0148497469757731,0.0671457196841733,1,2020,0.052295972708400196,4.521674328439363
2020-03-10,0.0157528152671961,0.023804339156108,1,2020,0.0080515238889119,1.5111165053575226
2020-03-11,0.0162032620167674,0.0364954993081334,1,2020,0.020292237291366002,2.252355067169022
2020-03-13,0.0167874844962867,0.0448896072089107,1,2020,0.028102122712623998,2.6739924745032546
2020-03-17,0.0168565625431615,0.0784301385247232,1,2020,0.061573575981561705,4.652795510585363
2020-03-19,0.0170206021814669,0.0321810742966766,1,2020,0.015160472115209697,1.8907130284566178
2020-04-06,0.0174878799743237,0.0224615644987688,1,2020,0.004973684524445101,1.2844075171917713
2020-04-24,0.0181899823713249,0.054991694138219,1,2020,0.036801711766894105,3.0231856752598705
2020-06-10,0.0183244007895221,0.0258676807897816,1,2020,0.007543280000259497,1.4116522055429364
2020-10-27,0.0206125884318899,0.022409920296033,1,2020,0.0017973318641431,1.0871958352092468
2021-11-24,0.0224104367380604,0.0305240587096649,1,2021,0.0081136219716045,1.3620465797449124
2022-03-08,0.0224749922453421,0.0267974645811732,1,2022,0.0043224723358311,1.1923236408113522
