Model,From,To,T,Expected Viol.,Violations,Violation Rate,VR Gap,Coverage Bias,Tick Loss,Winkler Score,Mean VaR Level,Max VaR Level,Min VaR Level,Mean VaR 2020,Max VaR 2020,n_negative_var,p_UC,p_CC,p_DQ,UC Test,CC Test,DQ Test,Valid(CC&DQ)
MLP-VaR,2015-01-02,2024-12-27,2506,25.060000000000024,28,0.0111731843575419,0.001173184357541891,0.001173184357541891,0.00032208178048940373,0.020070851672566115,0.019825046986649143,0.0522943213582038,0.0077108792029321,0.019652827268102684,0.0400788858532905,0,0.5623493336834248,0.10067141727775775,4.010680676458378e-12,PASS,PASS,FAIL,NO
GARCH-t,2015-01-02,2024-12-27,2506,25.060000000000024,18,0.007182761372705506,0.0028172386272945025,-0.0028172386272945025,0.0002374573072437969,0.019768990493192303,0.019691445313973426,0.1134502062017333,0.0088103952633223,0.033657840487722204,0.1134502062017333,0,0.1355617607281625,0.2882022114452272,0.6545238437857953,PASS,PASS,PASS,YES
GARCH-Normal,2015-01-02,2024-12-27,2506,25.060000000000024,51,0.020351157222665603,0.010351157222665594,0.010351157222665594,0.00024144372442609267,0.014814882400699203,0.014626971246001505,0.0846016330364531,0.0080225735945042,0.023553538862204442,0.0846016330364531,0,4.919064038211296e-06,2.034859550803514e-05,0.0017900591972089819,FAIL,FAIL,FAIL,NO
Historical Simulation,2015-01-02,2024-12-27,2506,25.060000000000024,31,0.012370311252992818,0.002370311252992809,0.002370311252992809,0.00029621351418001457,0.01798567032220443,0.017750208836498752,0.0238249725724447,0.013827826462578,0.01904978932515955,0.0224104367380604,0,0.25014081942075206,0.011718591563963154,0.0,PASS,FAIL,FAIL,NO
CAViaR-AS,2015-01-02,2024-12-27,2506,25.060000000000024,27,0.01077414205905826,0.0007741420590582516,0.0007741420590582516,0.0002620878135071806,0.018400585170973163,0.018244040900031445,0.1996858883172695,0.0073011507598673,0.0275061101966578,0.1996858883172695,0,0.7004839613559659,0.5387715181787406,0.023206902792217154,PASS,PASS,FAIL,NO
