,VaR_pred,loss_real,viol,year,exceedance,exceedance_ratio
2010-02-03,0.011420235969126225,0.026196617633104324,1,2010,0.0147763816639781,2.2938770883478212
2010-10-18,0.015826640650629997,0.01709473505616188,1,2010,0.0012680944055318832,1.0801240410725699
2011-01-03,0.010776341892778873,0.01090457197278738,1,2011,0.00012823008000850677,1.011899221580417
2011-05-04,0.016409359872341156,0.023495325818657875,1,2011,0.007085965946316719,1.4318246416339793
2011-05-10,0.011647464707493782,0.014313003048300743,1,2011,0.002665538340806961,1.2288513773381085
2011-09-21,0.014609522186219692,0.026701759546995163,1,2011,0.01209223736077547,1.8276956088393754
2011-09-22,0.010119021870195866,0.015699028968811035,1,2011,0.0055800070986151695,1.5514373988112709
2011-09-27,0.012681798078119755,0.015219097025692463,1,2011,0.002537298947572708,1.200074069303341
2011-12-13,0.014622383750975132,0.023732837289571762,1,2011,0.00911045353859663,1.6230484504955682
2012-06-20,0.015228944830596447,0.019406957551836967,1,2012,0.0041780127212405205,1.274346828865417
2012-07-05,0.013126478530466557,0.013480061665177345,1,2012,0.0003535831347107887,1.0269366329964371
2013-04-12,0.01011922862380743,0.02981555461883545,1,2013,0.01969632599502802,2.9464256345279742
2013-06-19,0.014519011601805687,0.026507526636123657,1,2013,0.01198851503431797,1.825711512815858
2014-11-26,0.019243719056248665,0.02523237094283104,1,2014,0.005988651886582375,1.3112003386184226
2014-12-05,0.00918806716799736,0.010180586017668247,1,2014,0.000992518849670887,1.108022594036741
2015-02-03,0.009940750896930695,0.015965407714247704,1,2015,0.006024656817317009,1.6060565122074613
2015-04-07,0.012389401905238628,0.01657090149819851,1,2015,0.004181499592959881,1.3375061705918032
2015-08-21,0.017435288056731224,0.017541024833917618,1,2015,0.00010573677718639374,1.0060645271154882
2016-01-14,0.011617750860750675,0.012434436939656734,1,2016,0.0008166860789060593,1.0702964014889615
2016-01-22,0.012941211462020874,0.013853033073246479,1,2016,0.000911821611225605,1.0704587521733624
2016-07-06,0.010140412487089634,0.010426117107272148,1,2016,0.0002857046201825142,1.0281748519151723
2016-11-10,0.015849394723773003,0.016854876652359962,1,2016,0.0010054819285869598,1.0634397682757442
2018-11-12,0.014804378151893616,0.01678679883480072,1,2018,0.0019824206829071045,1.1339077307109677
2018-11-19,0.012788493186235428,0.015748405829072,1,2018,0.0029599126428365707,1.2314512429050202
2018-11-21,0.015265374444425106,0.017480768263339996,1,2018,0.0022153938189148903,1.145125416148829
2018-12-17,0.011041464284062386,0.013582277111709118,1,2018,0.0025408128276467323,1.2301155682144647
2018-12-21,0.0119974035769701,0.018188942223787308,1,2018,0.006191538646817207,1.5160732159333477
2020-02-27,0.014357850886881351,0.017016105353832245,1,2020,0.0026582544669508934,1.1851429220078973
2020-03-05,0.013667015358805656,0.020593872293829918,1,2020,0.0069268569350242615,1.5068302590705211
2020-03-06,0.010167466476559639,0.06714586168527603,1,2020,0.05697839520871639,6.603991450581713
2020-03-10,0.015467352233827114,0.023804232478141785,1,2020,0.00833688024431467,1.5389985382295688
2020-03-11,0.012887313961982727,0.03649555891752243,1,2020,0.023608244955539703,2.831898021975989
2020-03-13,0.01296597346663475,0.04488958418369293,1,2020,0.03192361071705818,3.4621067441798323
2020-03-17,0.013151532039046288,0.07843015342950821,1,2020,0.06527862139046192,5.9635754371926195
2020-03-19,0.010227391496300697,0.032181136310100555,1,2020,0.021953744813799858,3.146563453813286
2020-03-26,0.012059541419148445,0.015570783987641335,1,2020,0.0035112425684928894,1.2911588796334867
2020-04-06,0.015914302319288254,0.022461429238319397,1,2020,0.006547126919031143,1.4113989283146882
2020-04-16,0.013195508159697056,0.016544293612241745,1,2020,0.003348785452544689,1.253782227407722
2020-04-24,0.01057719998061657,0.05499166622757912,1,2020,0.04441446624696255,5.199075967964588
2020-06-10,0.02297307550907135,0.025867754593491554,1,2020,0.002894679084420204,1.126003115398162
2020-09-04,0.01609407365322113,0.020304104313254356,1,2020,0.004210030660033226,1.2615888774182795
2020-10-27,0.01919356733560562,0.022409971803426743,1,2020,0.003216404467821121,1.1675772101965867
2021-03-22,0.011055795475840569,0.013932528905570507,1,2021,0.0028767334297299385,1.260201397178182
2021-11-24,0.013762354850769043,0.03052397072315216,1,2021,0.016761615872383118,2.2179322546276645
2022-03-08,0.016890857368707657,0.02679738961160183,1,2022,0.009906532242894173,1.586502628412884
2022-03-11,0.019085213541984558,0.019783567637205124,1,2022,0.0006983540952205658,1.0365913692128355
2022-04-05,0.011676067486405373,0.01596243306994438,1,2022,0.004286365583539009,1.3671069551910087
2022-04-08,0.011224313639104366,0.011967428959906101,1,2022,0.0007431153208017349,1.066205858522413
2022-05-06,0.01796170510351658,0.020313072949647903,1,2022,0.0023513678461313248,1.1309100574015643
2022-06-16,0.012879678048193455,0.013017769902944565,1,2022,0.00013809185475111008,1.0107216852963556
2022-07-01,0.015915129333734512,0.021157069131731987,1,2022,0.005241939797997475,1.3293683443015694
2022-07-05,0.00891097728163004,0.009422100149095058,1,2022,0.0005111228674650192,1.0573587892002259
2022-07-11,0.013230551965534687,0.02102663367986679,1,2022,0.007796081714332104,1.5892484103944216
2022-09-22,0.017475206404924393,0.017799338325858116,1,2022,0.00032413192093372345,1.0185481025759093
2022-09-23,0.012258954346179962,0.016454119235277176,1,2022,0.004195164889097214,1.3422122940203687
2023-02-02,0.015767019242048264,0.01853187195956707,1,2023,0.0027648527175188065,1.1753567161347378
2024-08-30,0.01178127434104681,0.012434213422238827,1,2024,0.0006529390811920166,1.0554217703697069
