,VaR_pred,loss_real,viol,year,exceedance,exceedance_ratio
2010-02-03,0.016138959676027298,0.026196617633104324,1,2010,0.010057657957077026,1.6231912191971458
2010-05-03,0.015020307153463364,0.017654238268733025,1,2010,0.002633931115269661,1.1753580062217523
2010-05-13,0.0129003981128335,0.013288742862641811,1,2010,0.00038834474980831146,1.030103315138932
2010-10-18,0.01509206835180521,0.01709473505616188,1,2010,0.0020026667043566704,1.1326966362511288
2011-05-04,0.017457859590649605,0.023495325818657875,1,2011,0.00603746622800827,1.3458308389215092
2011-08-17,0.013922950252890587,0.016822736710309982,1,2011,0.0028997864574193954,1.208273850351319
2011-09-21,0.016577987000346184,0.026701759546995163,1,2011,0.01012377254664898,1.6106756234298876
2011-09-27,0.013974965550005436,0.015219097025692463,1,2011,0.001244131475687027,1.0890257275579862
2011-12-13,0.018987877294421196,0.023732837289571762,1,2011,0.004744959995150566,1.2498941783526627
2012-06-20,0.018968043848872185,0.019406957551836967,1,2012,0.0004389137029647827,1.023139639831172
2012-07-05,0.013045405969023705,0.013480061665177345,1,2012,0.00043465569615364075,1.0333186791722488
2012-11-06,0.012787329033017159,0.013013158924877644,1,2012,0.00022582989186048508,1.0176604427146112
2013-04-12,0.01566321961581707,0.02981555461883545,1,2013,0.01415233500301838,1.903539332917674
2013-06-19,0.02154536545276642,0.026507526636123657,1,2013,0.004962161183357239,1.2303122309173966
2014-11-26,0.01905711367726326,0.02523237094283104,1,2014,0.0061752572655677795,1.3240394831109907
2015-02-03,0.013981333002448082,0.015965407714247704,1,2015,0.0019840747117996216,1.1419088374085802
2015-04-07,0.015749037265777588,0.01657090149819851,1,2015,0.0008218642324209213,1.0521850458889204
2015-08-21,0.014683387242257595,0.017541024833917618,1,2015,0.0028576375916600227,1.1946170556229678
2015-08-31,0.012181232683360577,0.019678598269820213,1,2015,0.007497365586459637,1.61548496620551
2015-09-08,0.011175911873579025,0.013171743601560593,1,2015,0.0019958317279815674,1.178583345194401
2015-12-04,0.013802730478346348,0.014805969782173634,1,2015,0.0010032393038272858,1.0726841189430716
2016-01-22,0.012526487931609154,0.013853033073246479,1,2016,0.0013265451416373253,1.1058992072542488
2016-01-29,0.0117189334705472,0.012807796709239483,1,2016,0.0010888632386922836,1.0929148750122089
2016-11-10,0.016767410561442375,0.016854876652359962,1,2016,8.746609091758728e-05,1.0052164340222407
2018-11-19,0.015208764001727104,0.015748405829072,1,2018,0.0005396418273448944,1.035482293451566
2018-11-21,0.014056415297091007,0.017480768263339996,1,2018,0.003424352966248989,1.2436149540173065
2020-03-05,0.012537884525954723,0.020593872293829918,1,2020,0.008055987767875195,1.642531660839471
2020-03-06,0.012798426672816277,0.06714586168527603,1,2020,0.054347435012459755,5.246415313523898
2020-03-10,0.01387243252247572,0.023804232478141785,1,2020,0.009931799955666065,1.715937881808028
2020-03-11,0.01187145709991455,0.03649555891752243,1,2020,0.02462410181760788,3.07422741878797
2020-03-13,0.012216812931001186,0.04488958418369293,1,2020,0.032672771252691746,3.6744103750481316
2020-03-17,0.014631821773946285,0.07843015342950821,1,2020,0.06379833165556192,5.360245268238745
2020-03-19,0.012989041395485401,0.032181136310100555,1,2020,0.019192094914615154,2.4775605320101413
2020-03-26,0.012371737509965897,0.015570783987641335,1,2020,0.003199046477675438,1.258576976362333
2020-04-06,0.01712649315595627,0.022461429238319397,1,2020,0.005334936082363129,1.311501953948333
2020-04-24,0.012250179424881935,0.05499166622757912,1,2020,0.04274148680269718,4.489049859619433
2020-06-10,0.02120089903473854,0.025867754593491554,1,2020,0.004666855558753014,1.2201253612455858
2020-06-23,0.013940642587840557,0.017041919752955437,1,2020,0.0031012771651148796,1.222462999504765
2020-09-04,0.01875522918999195,0.020304104313254356,1,2020,0.0015488751232624054,1.0825836414779142
2020-09-18,0.015932321548461914,0.016250088810920715,1,2020,0.00031776726245880127,1.0199448185559297
2021-11-24,0.020668448880314827,0.03052397072315216,1,2021,0.009855521842837334,1.4768389684154766
2021-11-29,0.013079688884317875,0.014688014052808285,1,2021,0.0016083251684904099,1.1229635645553266
2022-03-08,0.015858815982937813,0.02679738961160183,1,2022,0.010938573628664017,1.6897471816579883
2022-03-11,0.019434355199337006,0.019783567637205124,1,2022,0.0003492124378681183,1.0179688203846369
2022-05-06,0.018460169434547424,0.020313072949647903,1,2022,0.0018529035151004791,1.1003730502945899
2022-07-01,0.013836375437676907,0.021157069131731987,1,2022,0.00732069369405508,1.5290904201775697
2022-07-11,0.016714807599782944,0.02102663367986679,1,2022,0.004311826080083847,1.257964445856968
2023-02-02,0.016219336539506912,0.01853187195956707,1,2023,0.0023125354200601578,1.1425789158778046
