Model,w,T,Expected Viol.,Violations,Violation Rate,VR Gap,Coverage Bias,Tick Loss,Winkler Score,Mean VaR Level,Max VaR Level,Min VaR Level,Mean VaR 2020,Max VaR 2020,n_negative_var,p_UC,UC Test,p_CC,CC Test,p_DQ,DQ Test,p_Mean,Valid(CC&DQ),DQ_lags_1,p_DQ_lags_1,DQ_lags_1_Test,DQ_lags_2,p_DQ_lags_2,DQ_lags_2_Test,DQ_lags_4,p_DQ_lags_4,DQ_lags_4_Test,DQ_lags_5,p_DQ_lags_5,DQ_lags_5_Test,DQ_lags_10,p_DQ_lags_10,DQ_lags_10_Test
Softplus + dynamic features + SiLU LayerNorm,1,3762,37.62000000000003,42,0.011164274322169059,0.00116427432216905,0.00116427432216905,0.00030244598227906964,0.022348129123835714,0.022188652889800035,0.0708487033843994,0.0065773054957389,0.027367299400358987,0.067909687757492,0,0.4810898464896908,PASS,0.6180555049159884,PASS,0.005803898350733916,FAIL,0.3683164165854711,NO,1.078982095391637,0.5830449189279524,PASS,15.02897008739579,0.001792058636138405,FAIL,16.394348137100867,0.005803898350733916,FAIL,21.24472337284148,0.0016577879461449063,FAIL,34.12486688652291,0.00034507058308597127,FAIL
Softplus + dynamic SiLU LayerNorm + rolling winsor,1,3762,37.62000000000003,41,0.010898458266879319,0.0008984582668793099,0.0008984582668793099,0.0003033680227797135,0.022349275356341194,0.022187921641531102,0.0708432868123054,0.006598790641874,0.027347714057659674,0.0679452717304229,0,0.5851135902256199,PASS,0.6643872908429092,PASS,0.0039745935114637865,FAIL,0.417825158193331,NO,0.9830490122898263,0.6116931530286313,PASS,15.865550720875271,0.0012082737558550827,FAIL,17.2940538485564,0.0039745935114637865,FAIL,22.50939011578838,0.0009786003140364041,FAIL,36.320753603999904,0.00014965509789566234,FAIL
Softplus + ratios + shocks,1,3762,37.62000000000003,32,0.008506113769271665,0.0014938862307283442,-0.0014938862307283442,0.0002744768410244848,0.018857870650010287,0.01868409865621447,0.0283760800957679,0.0089854672551155,0.019035637018779077,0.0283760800957679,0,0.34458967091981607,PASS,0.060604706724251334,PASS,0.0,FAIL,0.13506479254802248,NO,12.180711657049933,0.00226460296110087,FAIL,94.88144795190271,0.0,FAIL,150.82086575969865,0.0,FAIL,161.1977835216387,0.0,FAIL,174.55604271833226,0.0,FAIL
Softplus base w=1,1,3762,37.62000000000003,36,0.009569377990430622,0.00043062200956938725,-0.00043062200956938725,0.0002830109375593939,0.018417397112384954,0.018216947114648593,0.0300894156098365,0.0074033010751008,0.017325955213036384,0.0300894156098365,0,0.7891812934474971,PASS,0.016971950990587237,FAIL,0.0,FAIL,0.2687177481460281,NO,21.049523659001984,2.6862969197849473e-05,FAIL,57.339922163950305,2.1744828160308316e-12,FAIL,114.51707675115901,0.0,FAIL,157.6273714950143,0.0,FAIL,226.0165402214643,0.0,FAIL
Softplus + SiLU LayerNorm + downside pressure,1,3762,37.62000000000003,39,0.0103668261562998,0.0003668261562998,0.0003668261562998,0.0002940247307176,0.0201534453129747,0.0199660812716253,0.0522943213582038,0.0077108792029321,0.0196528272681027,0.0400788858532905,0,0.8221513182147243,PASS,0.1838120012296222,PASS,1.2685452688288024e-10,FAIL,0.3353211065237336,NO,6.489043445356796,0.0389872065955972,FAIL,38.361569935181656,2.3696680617746324e-08,FAIL,55.06039533688523,1.2685452688288024e-10,FAIL,58.64072425233932,8.496492398535338e-11,FAIL,76.18179500274718,8.038014698286133e-12,FAIL
