,VaR_pred,loss_real,viol,year,exceedance,exceedance_ratio
2010-02-03,0.019906386733055115,0.026196617633104324,1,2010,0.00629023090004921,1.3159905905778524
2011-05-04,0.01980474963784218,0.023495325818657875,1,2011,0.0036905761808156967,1.1863480351078957
2011-09-21,0.0196172297000885,0.026701759546995163,1,2011,0.007084529846906662,1.361138140054235
2011-12-13,0.02239372208714485,0.023732837289571762,1,2011,0.0013391152024269104,1.0597986880973052
2013-04-12,0.019392574205994606,0.02981555461883545,1,2013,0.010422980412840843,1.5374727615903052
2013-06-19,0.020628314465284348,0.026507526636123657,1,2013,0.00587921217083931,1.2850069103189943
2014-11-26,0.0200479868799448,0.02523237094283104,1,2014,0.005184384062886238,1.2585987358198287
2020-03-06,0.02516535483300686,0.06714586168527603,1,2020,0.04198050685226917,2.668186565651265
2020-03-10,0.01276292372494936,0.023804232478141785,1,2020,0.011041308753192425,1.865108104627197
2020-03-11,0.01599409244954586,0.03649555891752243,1,2020,0.02050146646797657,2.2818149283961837
2020-03-13,0.01592855341732502,0.04488958418369293,1,2020,0.028961030766367912,2.8181833596306274
2020-03-17,0.015284782275557518,0.07843015342950821,1,2020,0.06314537115395069,5.131257483132676
2020-03-19,0.011433015577495098,0.032181136310100555,1,2020,0.020748120732605457,2.8147548730228564
2020-03-26,0.014849594794213772,0.015570783987641335,1,2020,0.0007211891934275627,1.048566254057557
2020-04-06,0.02039605751633644,0.022461429238319397,1,2020,0.002065371721982956,1.1012632819028223
2020-04-24,0.014265058562159538,0.05499166622757912,1,2020,0.04072660766541958,3.8549905692959254
2020-06-10,0.021744130179286003,0.025867754593491554,1,2020,0.004123624414205551,1.1896431073676066
2020-09-04,0.020067593082785606,0.020304104313254356,1,2020,0.00023651123046875,1.0117857298328237
2020-10-27,0.019423382356762886,0.022409971803426743,1,2020,0.0029865894466638565,1.1537625832518288
2021-11-24,0.01940215565264225,0.03052397072315216,1,2021,0.01112181507050991,1.57322574200642
2022-03-08,0.019721781834959984,0.02679738961160183,1,2022,0.007075607776641846,1.3587712223902209
2022-03-11,0.019338032230734825,0.019783567637205124,1,2022,0.00044553540647029877,1.023039335189554
2022-05-06,0.017957163974642754,0.020313072949647903,1,2022,0.00235590897500515,1.1311960495728568
2022-07-01,0.021149320527911186,0.021157069131731987,1,2022,7.748603820800781e-06,1.0003663760171668
2022-07-11,0.018600456416606903,0.02102663367986679,1,2022,0.0024261772632598877,1.1304364370916051
