,VaR_pred,loss_real,viol,year,exceedance,exceedance_ratio
2010-02-03,0.019575132057070732,0.026196617633104324,1,2010,0.006621485576033592,1.3382600718467106
2011-05-04,0.021741678938269615,0.023495325818657875,1,2011,0.0017536468803882599,1.0806583008316575
2011-09-21,0.021646589040756226,0.026701759546995163,1,2011,0.005055170506238937,1.2335319664784625
2011-12-13,0.023296521976590157,0.023732837289571762,1,2011,0.00043631531298160553,1.018728774768184
2013-04-12,0.019032876938581467,0.02981555461883545,1,2013,0.010782677680253983,1.566529049446879
2013-06-19,0.0206430833786726,0.026507526636123657,1,2013,0.0058644432574510574,1.2840875633680726
2014-11-26,0.020924875512719154,0.02523237094283104,1,2014,0.004307495430111885,1.2058552476211186
2015-08-31,0.01945875957608223,0.019678598269820213,1,2015,0.0002198386937379837,1.0112976725406586
2020-03-05,0.015727289021015167,0.020593872293829918,1,2020,0.004866583272814751,1.309435610060444
2020-03-06,0.02162979543209076,0.06714586168527603,1,2020,0.04551606625318527,3.1043225487771355
2020-03-13,0.02728903666138649,0.04488958418369293,1,2020,0.017600547522306442,1.64496771141837
2020-03-17,0.023493783548474312,0.07843015342950821,1,2020,0.0549363698810339,3.3383364270673836
2020-04-24,0.022333936765789986,0.05499166622757912,1,2020,0.03265772946178913,2.4622468848310084
2020-10-27,0.019755404442548752,0.022409971803426743,1,2020,0.0026545673608779907,1.1343717041378634
2021-11-24,0.020422080531716347,0.03052397072315216,1,2021,0.010101890191435814,1.4946552911564106
2022-03-08,0.0219400767236948,0.02679738961160183,1,2022,0.004857312887907028,1.2213899681882716
2022-05-06,0.020164597779512405,0.020313072949647903,1,2022,0.00014847517013549805,1.0073631605132412
2022-07-11,0.019580340012907982,0.02102663367986679,1,2022,0.001446293666958809,1.0738645838634757
