,VaR_pred,loss_real,viol,year
2010-01-04,0.0287668164819479,-0.001400684122927487,0,2010
2010-01-05,0.013900985941290855,-0.00640800641849637,0,2010
2010-01-06,0.03315262496471405,0.0021468966733664274,0,2010
2010-01-07,0.01982058398425579,-0.0032343596685677767,0,2010
2010-01-08,0.023932158946990967,-0.003497055498883128,0,2010
2010-01-11,0.023241855204105377,0.008993388153612614,0,2010
2010-01-12,0.026297062635421753,0.00016848645464051515,0,2010
2010-01-13,0.02706429921090603,-0.0015270801959559321,0,2010
2010-01-14,0.012468828819692135,0.008526680059731007,0,2010
2010-01-15,0.020892376080155373,-0.004884980618953705,0,2010
2010-01-19,0.014582334086298943,0.012289252132177353,0,2010
2010-01-20,0.021965209394693375,0.009025524370372295,0,2010
2010-01-21,0.01870931126177311,0.010230769403278828,0,2010
2010-01-22,0.023224202916026115,-0.00362420198507607,0,2010
2010-01-25,0.011622587218880653,0.0023791873827576637,0,2010
2010-01-26,0.01795567013323307,0.005499556660652161,0,2010
2010-01-27,0.022673390805721283,0.003571793669834733,0,2010
2010-01-28,0.020359141752123833,0.004813417326658964,0,2010
2010-01-29,0.017243802547454834,-0.011087266728281975,0,2010
2010-02-01,0.02322910539805889,-0.013360830023884773,0,2010
2010-02-02,0.02369697578251362,0.004857221618294716,0,2010
2010-02-03,0.023923268541693687,0.026196617633104324,1,2010
2010-02-04,0.02428114227950573,0.007062164135277271,0,2010
2010-02-05,0.022496506571769714,-0.0021781274117529392,0,2010
2010-02-08,0.012247126549482346,-0.010528508573770523,0,2010
2010-02-09,0.024393759667873383,-0.0004899353953078389,0,2010
2010-02-10,0.02641325630247593,-0.006060844752937555,0,2010
2010-02-11,0.03241972625255585,0.004708557389676571,0,2010
2010-02-12,0.023561805486679077,-0.018960464745759964,0,2010
2010-02-16,0.025585083290934563,0.0016952933510765433,0,2010
2010-02-17,0.033475831151008606,-0.0026067718863487244,0,2010
2010-02-18,0.03481819108128548,-0.005295273382216692,0,2010
2010-02-19,0.03705755993723869,0.0011870861053466797,0,2010
2010-02-22,0.026484908536076546,0.00713774049654603,0,2010
2010-02-23,0.0350419245660305,-0.004026487469673157,0,2010
2010-02-24,0.029551725834608078,0.0023696287535130978,0,2010
2010-02-25,0.04048388451337814,-0.007651959545910358,0,2010
2010-02-26,0.029030920937657356,0.0012994251446798444,0,2010
2010-03-01,0.028438005596399307,-0.007301367819309235,0,2010
2010-03-02,0.02132253162562847,-0.005055135581642389,0,2010
2010-03-03,0.03329916670918465,0.004039671737700701,0,2010
2010-03-04,0.02350456640124321,-0.006071452051401138,0,2010
2010-03-05,0.03673234581947327,0.001822567661292851,0,2010
2010-03-08,0.016733771190047264,0.0005097715184092522,0,2010
2010-03-09,0.025254342705011368,-2.4294842660310678e-05,0,2010
2010-03-10,0.02468050830066204,-0.0013284619199112058,0,2010
2010-03-11,0.021771689876914024,0.0018070681253448129,0,2010
2010-03-12,0.02366054244339466,0.004181494005024433,0,2010
2010-03-15,0.026225417852401733,-0.011433129198849201,0,2010
2010-03-16,0.015742676332592964,-0.004270377103239298,0,2010
2010-03-17,0.020969273522496223,0.0035789143294095993,0,2010
2010-03-18,0.02585040219128132,0.009733463637530804,0,2010
2010-03-19,0.023517534136772156,-0.002064720494672656,0,2010
2010-03-22,0.016102062538266182,-0.0019242631969973445,0,2010
2010-03-23,0.014902394264936447,0.011067261919379234,0,2010
2010-03-24,0.03857564553618431,0.0008865906274877489,0,2010
2010-03-25,0.019779693335294724,-0.0029329059179872274,0,2010
2010-03-26,0.014771424233913422,-0.008353536017239094,0,2010
2010-03-29,0.023688441142439842,0.001198567682877183,0,2010
2010-03-30,0.014096252620220184,-0.00599525636062026,0,2010
2010-03-31,0.021631591022014618,-0.00692554609850049,0,2010
2010-04-01,0.030902419239282608,-0.0038362108170986176,0,2010
2010-04-05,0.0350378155708313,-0.000523836410138756,0,2010
2010-04-06,0.016428671777248383,-4.485024692257866e-05,0,2010
2010-04-07,0.015665102750062943,0.0005231280229054391,0,2010
2010-04-08,0.02605324052274227,-0.0040739127434790134,0,2010
2010-04-09,0.026321517303586006,-0.0010101428488269448,0,2010
2010-04-12,0.02558108977973461,0.0015072822570800781,0,2010
2010-04-13,0.022225601598620415,-0.007663085125386715,0,2010
2010-04-14,0.030031265690922737,0.0013488532276824117,0,2010
2010-04-15,0.013769975863397121,0.01253932062536478,0,2010
2010-04-16,0.02244739979505539,0.004377373959869146,0,2010
2010-04-19,0.019876578822731972,-0.006368773058056831,0,2010
2010-04-20,0.021874820813536644,-0.0019977756310254335,0,2010
2010-04-21,0.014330985024571419,0.002796950051560998,0,2010
2010-04-22,0.022535119205713272,-0.007820130325853825,0,2010
2010-04-23,0.022457260638475418,0.0025741723366081715,0,2010
2010-04-26,0.0156707726418972,0.009144658222794533,0,2010
2010-04-27,0.01667514443397522,-0.004436791408807039,0,2010
2010-04-28,0.0232660174369812,-0.00779870105907321,0,2010
2010-04-29,0.02463654614984989,-0.0026681777089834213,0,2010
2010-04-30,0.01775199919939041,-0.001134005025960505,0,2010
2010-05-03,0.028129762038588524,0.017654238268733025,0,2010
2010-05-04,0.021113397553563118,0.008650792762637138,0,2010
2010-05-05,0.025326905772089958,0.010778427124023438,0,2010
2010-05-06,0.01893753558397293,0.004767597187310457,0,2010
2010-05-07,0.019976478070020676,-0.01029779203236103,0,2010
2010-05-10,0.02638242021203041,0.0006901536835357547,0,2010
2010-05-11,0.016833888366818428,-0.004177893046289682,0,2010
2010-05-12,0.022203009575605392,0.009033783338963985,0,2010
2010-05-13,0.025593668222427368,0.013288742862641811,0,2010
2010-05-14,0.02166362665593624,0.003952227998524904,0,2010
2010-05-17,0.03371268883347511,0.009004599414765835,0,2010
2010-05-18,0.021414026618003845,-0.0003506269713398069,0,2010
2010-05-19,0.02761828899383545,0.010841934010386467,0,2010
