Model,w,T,Expected Viol.,Violations,Violation Rate,VR Gap,Coverage Bias,Tick Loss,Winkler Score,Mean VaR Level,Max VaR Level,Min VaR Level,Mean VaR 2020,Max VaR 2020,n_negative_var,p_UC,UC Test,p_CC,CC Test,p_DQ,DQ Test,p_Mean,Valid(CC&DQ)
Softplus base w=1,1,3762,37.62000000000003,36,0.009569377990430622,0.00043062200956938725,-0.00043062200956938725,0.0002830109375593939,0.018417397112384954,0.018216947114648593,0.0300894156098365,0.0074033010751008,0.017325955213036384,0.0300894156098365,0,0.7891812934474971,PASS,0.016971950990587237,FAIL,0.0,FAIL,0.2687177481460281,NO
Softplus + ratios + shocks,1,3762,37.62000000000003,32,0.008506113769271665,0.0014938862307283442,-0.0014938862307283442,0.0002744768410244848,0.018857870650010287,0.01868409865621447,0.0283760800957679,0.0089854672551155,0.019035637018779077,0.0283760800957679,0,0.34458967091981607,PASS,0.060604706724251334,PASS,0.0,FAIL,0.13506479254802248,NO
Softplus + downside shocks + stress memory,1,3762,37.62000000000003,25,0.006645401382243487,0.0033545986177565216,-0.0033545986177565216,0.00028346303859939367,0.020356426514718192,0.020195024337566026,0.0308739636093378,0.0080579472705721,0.0202039184078455,0.0308739636093378,0,0.027650708718455097,FAIL,0.032904899474288984,FAIL,0.0,FAIL,0.020185202730914693,NO
Softplus + dynamic features,1,3762,37.62000000000003,18,0.004784688995215311,0.005215311004784698,-0.005215311004784698,0.0002689177821269118,0.02126504783226416,0.021152370334798463,0.07366997748613358,0.013304420746862888,0.024382277918734634,0.07366997748613358,0,0.0003456442210234556,FAIL,0.00033950429186757614,FAIL,1.0590157417667001e-07,FAIL,0.00022841813815506948,NO
Softplus + dynamic features + ReLU LayerNorm,1,3762,37.62000000000003,21,0.005582137161084529,0.0044178628389154794,-0.0044178628389154794,0.00032195172275713063,0.02612446232754486,0.026002630612187598,0.07822532206773758,0.007938995957374573,0.031421246760305895,0.07822532206773758,0,0.0029672554173576504,FAIL,0.0033048794948183913,FAIL,8.498884929153405e-10,FAIL,0.0020907119206881783,NO
Softplus + dynamic features + SiLU LayerNorm,1,3762,37.62000000000003,42,0.011164274322169059,0.00116427432216905,0.00116427432216905,0.00030244598227907013,0.02234812912383576,0.02218865288980008,0.07084870338439941,0.006577305495738983,0.027367299400359035,0.06790968775749207,0,0.4810898464896908,PASS,0.6180555049159884,PASS,0.005803898350733916,FAIL,0.3683164165854711,NO
