Date,rp_lag_0,rp_lag_1,rp_lag_2,rp_lag_3,rp_lag_4,rp_lag_5,rp_lag_6,rp_lag_7,rp_lag_8,rp_lag_9,rp_lag_10,rp_lag_11,rp_lag_12,rp_lag_13,rp_lag_14,vol_20,vol_60,SP500_ret,Gold_ret,Oil_ret,EURUSD_ret,IEF_ret,target
2010-01-04,0.014441093635112014,-0.002319083970853957,0.0004163519679188746,-0.0017956753849262383,0.0019500132881476642,0.006545631487270274,0.008864053281648408,0.002897774491967419,-0.00607477581998222,0.002868405216432908,-0.008241438979747362,0.007822750853859755,-0.00012062921190672212,0.0015676957225744768,-0.004791515256108786,0.00687706543056351,0.00736290779957356,0.02673126764702755,0.006742010961470187,0.020336008314825505,0.0024800990851104386,0.015916082167126387,-0.0014006841490895503
2010-01-05,0.0014006841490895503,0.014441093635112014,-0.002319083970853957,0.0004163519679188746,-0.0017956753849262383,0.0019500132881476642,0.006545631487270274,0.008864053281648408,0.002897774491967419,-0.00607477581998222,0.002868405216432908,-0.008241438979747362,0.007822750853859755,-0.00012062921190672212,0.0015676957225744768,0.006173273575627918,0.007265368640245916,0.00318464880595407,-0.0040305221069684306,0.00035783561269817505,0.004380626467004218,0.003110831966759719,-0.0064080063207783665
2010-01-06,0.0064080063207783665,0.0014006841490895503,0.014441093635112014,-0.002319083970853957,0.0004163519679188746,-0.0017956753849262383,0.0019500132881476642,0.006545631487270274,0.008864053281648408,0.002897774491967419,-0.00607477581998222,0.002868405216432908,-0.008241438979747362,0.007822750853859755,-0.00012062921190672212,0.006191971248364363,0.0072888642568503855,0.017096550863104843,0.002646804798315725,0.01579451541250982,-0.00404321135786197,0.0005453718878234133,0.0021468967736536083
2010-01-07,-0.0021468967736536083,0.0064080063207783665,0.0014006841490895503,0.014441093635112014,-0.002319083970853957,0.0004163519679188746,-0.0017956753849262383,0.0019500132881476642,0.006545631487270274,0.008864053281648408,0.002897774491967419,-0.00607477581998222,0.002868405216432908,-0.008241438979747362,0.007822750853859755,0.005687770800549672,0.007236239615134399,-0.006271084596757378,-0.005988525735909824,-0.0024680918902550827,0.0,0.003993218354654243,-0.0032343595644385016
2010-01-08,0.0032343595644385016,-0.0021468967736536083,0.0064080063207783665,0.0014006841490895503,0.014441093635112014,-0.002319083970853957,0.0004163519679188746,-0.0017956753849262383,0.0019500132881476642,0.006545631487270274,0.008864053281648408,0.002897774491967419,-0.00607477581998222,0.002868405216432908,-0.008241438979747362,0.005254700268882407,0.007227546672193462,0.0010881608703039963,0.006478351153559585,0.0044908064293332495,0.0012368962938994635,0.0028775830750962126,-0.003497055463852247
2010-01-11,0.003497055463852247,0.0032343595644385016,-0.0021468967736536083,0.0064080063207783665,0.0014006841490895503,0.014441093635112014,-0.002319083970853957,0.0004163519679188746,-0.0017956753849262383,0.0019500132881476642,0.006545631487270274,0.008864053281648408,0.002897774491967419,-0.00607477581998222,0.002868405216432908,0.005265951857247582,0.007203999795429372,-0.002783366734364313,0.006926876198316234,0.010922386126403755,0.0006741501003209284,0.0017452316285846302,0.008993387813586686
2010-01-12,-0.008993387813586686,0.003497055463852247,0.0032343595644385016,-0.0021468967736536083,0.0064080063207783665,0.0014006841490895503,0.014441093635112014,-0.002319083970853957,0.0004163519679188746,-0.0017956753849262383,0.0019500132881476642,0.006545631487270274,0.008864053281648408,0.002897774491967419,-0.00607477581998222,0.005598881318263499,0.007291878376157362,-0.02118744069900437,-0.0023914361899113113,-0.01912668150208354,0.007164065762010359,-0.00942544643894456,0.00016848645627389087
2010-01-13,-0.00016848645627389087,-0.008993387813586686,0.003497055463852247,0.0032343595644385016,-0.0021468967736536083,0.0064080063207783665,0.0014006841490895503,0.014441093635112014,-0.002319083970853957,0.0004163519679188746,-0.0017956753849262383,0.0019500132881476642,0.006545631487270274,0.008864053281648408,0.002897774491967419,0.005612324677635425,0.00729126363781043,-0.01421115131044671,0.0032624165675256152,0.006621663569801901,-0.004806817441610678,0.008291456333360418,-0.001527080159206488
2010-01-14,0.001527080159206488,-0.00016848645627389087,-0.008993387813586686,0.003497055463852247,0.0032343595644385016,-0.0021468967736536083,0.0064080063207783665,0.0014006841490895503,0.014441093635112014,-0.002319083970853957,0.0004163519679188746,-0.0017956753849262383,0.0019500132881476642,0.006545631487270274,0.008864053281648408,0.005599652963049371,0.007242651551455431,-0.003269647464350472,-0.0016543361948232623,0.00544095345952943,0.00469494457426256,0.002423486421414183,0.00852668003716731
2010-01-15,-0.00852668003716731,0.001527080159206488,-0.00016848645627389087,-0.008993387813586686,0.003497055463852247,0.0032343595644385016,-0.0021468967736536083,0.0064080063207783665,0.0014006841490895503,0.014441093635112014,-0.002319083970853957,0.0004163519679188746,-0.0017956753849262383,0.0019500132881476642,0.006545631487270274,0.0058215220556963486,0.0073219707236317,-0.01766358135941461,-0.007540404328297255,-0.011000243160598023,0.00445295496368193,-0.010882126301208588,-0.004884980662061651
2010-01-19,0.004884980662061651,-0.00852668003716731,0.001527080159206488,-0.00016848645627389087,-0.008993387813586686,0.003497055463852247,0.0032343595644385016,-0.0021468967736536083,0.0064080063207783665,0.0014006841490895503,0.014441093635112014,-0.002319083970853957,0.0004163519679188746,-0.0017956753849262383,0.0019500132881476642,0.005497318005772834,0.007314550822075496,0.012992115811576634,-0.007669729690757076,0.008458924256074033,-0.001778558274322435,0.012422151207737096,0.012289252147442444
2010-01-20,-0.012289252147442444,0.004884980662061651,-0.00852668003716731,0.001527080159206488,-0.00016848645627389087,-0.008993387813586686,0.003497055463852247,0.0032343595644385016,-0.0021468967736536083,0.0064080063207783665,0.0014006841490895503,0.014441093635112014,-0.002319083970853957,0.0004163519679188746,-0.0017956753849262383,0.006243163848061187,0.007485369808237112,-0.017875781175430316,-0.012023455501879625,-0.02433503952240169,0.003442402064360724,-0.010654386601861304,0.009025524429254916
2010-01-21,-0.009025524429254916,-0.012289252147442444,0.004884980662061651,-0.00852668003716731,0.001527080159206488,-0.00016848645627389087,-0.008993387813586686,0.003497055463852247,0.0032343595644385016,-0.0021468967736536083,0.0064080063207783665,0.0014006841490895503,0.014441093635112014,-0.002319083970853957,0.0004163519679188746,0.006433202390364369,0.007535390385753225,-0.020039719021112956,-0.0009448887352587097,-0.008668314012208104,0.003651956895292999,-0.019126657272987804,0.010230769601218326
2010-01-22,-0.010230769601218326,-0.009025524429254916,-0.012289252147442444,0.004884980662061651,-0.00852668003716731,0.001527080159206488,-0.00016848645627389087,-0.008993387813586686,0.003497055463852247,0.0032343595644385016,-0.0021468967736536083,0.0064080063207783665,0.0014006841490895503,0.014441093635112014,-0.002319083970853957,0.006817466748406028,0.007474894321539045,-0.020449535971149825,0.0031202553669437325,-0.012318236513859564,0.0008834487420830107,-0.02238977963010898,-0.0036242020234926826
2010-01-25,0.0036242020234926826,-0.010230769601218326,-0.009025524429254916,-0.012289252147442444,0.004884980662061651,-0.00852668003716731,0.001527080159206488,-0.00016848645627389087,-0.008993387813586686,0.003497055463852247,0.0032343595644385016,-0.0021468967736536083,0.0064080063207783665,0.0014006841490895503,0.014441093635112014,0.006563263790015517,0.007488205462458492,0.009612907216488064,0.0006365998603516985,0.005493513420230047,-0.002209569433402405,0.004587559053796009,0.0023791872809084146
2010-01-26,-0.0023791872809084146,0.0036242020234926826,-0.010230769601218326,-0.009025524429254916,-0.012289252147442444,0.004884980662061651,-0.00852668003716731,0.001527080159206488,-0.00016848645627389087,-0.008993387813586686,0.003497055463852247,0.0032343595644385016,-0.0021468967736536083,0.0064080063207783665,0.0014006841490895503,0.0063781206826568895,0.007359891249469828,-0.007334873816668712,-0.00479955913635074,0.0024623360872550208,0.0019882183090079476,-0.004212057847785588,0.005499556888107065
2010-01-27,-0.005499556888107065,-0.0023791872809084146,0.0036242020234926826,-0.010230769601218326,-0.009025524429254916,-0.012289252147442444,0.004884980662061651,-0.00852668003716731,0.001527080159206488,-0.00016848645627389087,-0.008993387813586686,0.003497055463852247,0.0032343595644385016,-0.0021468967736536083,0.0064080063207783665,0.006422581510251566,0.007151706646638663,-0.014018303893394278,-0.003654736000310232,-0.012372425339340949,-0.002320602076101678,0.004868282868611808,0.0035717935902673022
