,VaR_pred,loss_real,viol,year
2010-01-04,0.018850747495889664,-0.001400684122927487,0,2010
2010-01-05,0.019196530804038048,-0.00640800641849637,0,2010
2010-01-06,0.018953567370772362,0.0021468966733664274,0,2010
2010-01-07,0.01962510496377945,-0.0032343596685677767,0,2010
2010-01-08,0.019614020362496376,-0.003497055498883128,0,2010
2010-01-11,0.020904989913105965,0.008993388153612614,0,2010
2010-01-12,0.02227064222097397,0.00016848645464051515,0,2010
2010-01-13,0.021741891279816628,-0.0015270801959559321,0,2010
2010-01-14,0.021504689007997513,0.008526680059731007,0,2010
2010-01-15,0.024723391979932785,-0.004884980618953705,0,2010
2010-01-19,0.020472723990678787,0.012289252132177353,0,2010
2010-01-20,0.020782746374607086,0.009025524370372295,0,2010
2010-01-21,0.020342066884040833,0.010230769403278828,0,2010
2010-01-22,0.01814807578921318,-0.00362420198507607,0,2010
2010-01-25,0.02084631659090519,0.0023791873827576637,0,2010
2010-01-26,0.01976214349269867,0.005499556660652161,0,2010
2010-01-27,0.020848684012889862,0.003571793669834733,0,2010
2010-01-28,0.019297491759061813,0.004813417326658964,0,2010
2010-01-29,0.019984949380159378,-0.011087266728281975,0,2010
2010-02-01,0.019245309755206108,-0.013360830023884773,0,2010
2010-02-02,0.01872420124709606,0.004857221618294716,0,2010
2010-02-03,0.019575132057070732,0.026196617633104324,1,2010
2010-02-04,0.018294120207428932,0.007062164135277271,0,2010
2010-02-05,0.018517544493079185,-0.0021781274117529392,0,2010
2010-02-08,0.021857136860489845,-0.010528508573770523,0,2010
2010-02-09,0.02089962735772133,-0.0004899353953078389,0,2010
2010-02-10,0.017615312710404396,-0.006060844752937555,0,2010
2010-02-11,0.021090324968099594,0.004708557389676571,0,2010
2010-02-12,0.022476058453321457,-0.018960464745759964,0,2010
2010-02-16,0.018634585663676262,0.0016952933510765433,0,2010
2010-02-17,0.02191169559955597,-0.0026067718863487244,0,2010
2010-02-18,0.022100435569882393,-0.005295273382216692,0,2010
2010-02-19,0.01781620644032955,0.0011870861053466797,0,2010
2010-02-22,0.020574944093823433,0.00713774049654603,0,2010
2010-02-23,0.025518545880913734,-0.004026487469673157,0,2010
2010-02-24,0.02344384230673313,0.0023696287535130978,0,2010
2010-02-25,0.021620402112603188,-0.007651959545910358,0,2010
2010-02-26,0.020203495398163795,0.0012994251446798444,0,2010
2010-03-01,0.022171756252646446,-0.007301367819309235,0,2010
2010-03-02,0.020992349833250046,-0.005055135581642389,0,2010
2010-03-03,0.020778464153409004,0.004039671737700701,0,2010
2010-03-04,0.021971039474010468,-0.006071452051401138,0,2010
2010-03-05,0.01999727077782154,0.001822567661292851,0,2010
2010-03-08,0.019488228484988213,0.0005097715184092522,0,2010
2010-03-09,0.02178044803440571,-2.4294842660310678e-05,0,2010
2010-03-10,0.020431172102689743,-0.0013284619199112058,0,2010
2010-03-11,0.02190985530614853,0.0018070681253448129,0,2010
2010-03-12,0.021990368142724037,0.004181494005024433,0,2010
2010-03-15,0.02085510827600956,-0.011433129198849201,0,2010
2010-03-16,0.01836518757045269,-0.004270377103239298,0,2010
2010-03-17,0.019200406968593597,0.0035789143294095993,0,2010
2010-03-18,0.01978001743555069,0.009733463637530804,0,2010
2010-03-19,0.01903899386525154,-0.002064720494672656,0,2010
2010-03-22,0.02020943909883499,-0.0019242631969973445,0,2010
2010-03-23,0.021348867565393448,0.011067261919379234,0,2010
2010-03-24,0.02178620733320713,0.0008865906274877489,0,2010
2010-03-25,0.020405570045113564,-0.0029329059179872274,0,2010
2010-03-26,0.020545871928334236,-0.008353536017239094,0,2010
2010-03-29,0.020905261859297752,0.001198567682877183,0,2010
2010-03-30,0.02044583484530449,-0.00599525636062026,0,2010
2010-03-31,0.019434290006756783,-0.00692554609850049,0,2010
2010-04-01,0.019795255735516548,-0.0038362108170986176,0,2010
2010-04-05,0.020275749266147614,-0.000523836410138756,0,2010
2010-04-06,0.0205572210252285,-4.485024692257866e-05,0,2010
2010-04-07,0.021672211587429047,0.0005231280229054391,0,2010
2010-04-08,0.020998874679207802,-0.0040739127434790134,0,2010
2010-04-09,0.02096683531999588,-0.0010101428488269448,0,2010
2010-04-12,0.02216995507478714,0.0015072822570800781,0,2010
2010-04-13,0.021430479362607002,-0.007663085125386715,0,2010
2010-04-14,0.019066428765654564,0.0013488532276824117,0,2010
2010-04-15,0.020175471901893616,0.01253932062536478,0,2010
2010-04-16,0.01964380033314228,0.004377373959869146,0,2010
2010-04-19,0.019371112808585167,-0.006368773058056831,0,2010
2010-04-20,0.019394442439079285,-0.0019977756310254335,0,2010
2010-04-21,0.02021031267940998,0.002796950051560998,0,2010
2010-04-22,0.019766278564929962,-0.007820130325853825,0,2010
2010-04-23,0.020388489589095116,0.0025741723366081715,0,2010
2010-04-26,0.02161857858300209,0.009144658222794533,0,2010
2010-04-27,0.0208110548555851,-0.004436791408807039,0,2010
2010-04-28,0.019300514832139015,-0.00779870105907321,0,2010
2010-04-29,0.021127235144376755,-0.0026681777089834213,0,2010
2010-04-30,0.021544557064771652,-0.001134005025960505,0,2010
2010-05-03,0.019642896950244904,0.017654238268733025,0,2010
2010-05-04,0.02103421278297901,0.008650792762637138,0,2010
2010-05-05,0.018839627504348755,0.010778427124023438,0,2010
2010-05-06,0.019406119361519814,0.004767597187310457,0,2010
2010-05-07,0.021121928468346596,-0.01029779203236103,0,2010
2010-05-10,0.019542308524250984,0.0006901536835357547,0,2010
2010-05-11,0.021909520030021667,-0.004177893046289682,0,2010
2010-05-12,0.01917913183569908,0.009033783338963985,0,2010
2010-05-13,0.019882598891854286,0.013288742862641811,0,2010
2010-05-14,0.019331105053424835,0.003952227998524904,0,2010
2010-05-17,0.018912138417363167,0.009004599414765835,0,2010
2010-05-18,0.020818956196308136,-0.0003506269713398069,0,2010
2010-05-19,0.022139456123113632,0.010841934010386467,0,2010
2010-05-20,0.020176084712147713,-0.008331707678735256,0,2010
2010-05-21,0.021913615986704826,0.0025436945725232363,0,2010
2010-05-24,0.020958807319402695,0.0028433839324861765,0,2010
2010-05-25,0.02048449218273163,-0.006080307997763157,0,2010
2010-05-26,0.018350517377257347,-0.015507836826145649,0,2010
2010-05-27,0.01933952420949936,0.004300123080611229,0,2010
2010-05-28,0.01922220177948475,0.005599457770586014,0,2010
2010-06-01,0.018237387761473656,-0.004140255972743034,0,2010
2010-06-02,0.021103771403431892,-0.0021086828783154488,0,2010
2010-06-03,0.022022338584065437,0.014720894396305084,0,2010
2010-06-04,0.021501842886209488,-0.0008474651258438826,0,2010
2010-06-07,0.020656272768974304,-0.004678046330809593,0,2010
2010-06-08,0.01977376639842987,-0.0031869469676166773,0,2010
2010-06-09,0.02104129083454609,-0.007571094203740358,0,2010
2010-06-10,0.02005726657807827,0.0010096592595800757,0,2010
2010-06-11,0.02065574936568737,-0.003864105325192213,0,2010
2010-06-14,0.020953135564923286,-0.012068307027220726,0,2010
2010-06-15,0.019590985029935837,-0.0015865128953009844,0,2010
2010-06-16,0.020874060690402985,-0.0029936751816421747,0,2010
2010-06-17,0.020939558744430542,-0.0025955510791391134,0,2010
2010-06-18,0.018732430413365364,0.003319796174764633,0,2010
2010-06-21,0.020685290917754173,0.00425362354144454,0,2010
2010-06-22,0.021846920251846313,0.002317217644304037,0,2010
2010-06-23,0.02299162931740284,0.0010027297539636493,0,2010
2010-06-24,0.021749798208475113,-0.009162426926195621,0,2010
2010-06-25,0.02003004401922226,0.004927272442728281,0,2010
2010-06-28,0.0222911573946476,0.012304095551371574,0,2010
2010-06-29,0.01931861601769924,0.001279769348911941,0,2010
2010-06-30,0.018405647948384285,0.009861853905022144,0,2010
2010-07-01,0.021757472306489944,0.002329035894945264,0,2010
2010-07-02,0.020192641764879227,0.0001493184972787276,0,2010
2010-07-06,0.02030896581709385,-0.012043975293636322,0,2010
2010-07-07,0.020129917189478874,-0.005549698136746883,0,2010
2010-07-08,0.019695624709129333,-0.004128261003643274,0,2010
2010-07-09,0.019742144271731377,0.005234084092080593,0,2010
2010-07-12,0.020064577460289,-0.012367147952318192,0,2010
2010-07-13,0.019712157547473907,8.885324496077374e-05,0,2010
2010-07-14,0.020559513941407204,-0.003323216224089265,0,2010
2010-07-15,0.020318249240517616,0.009600119665265083,0,2010
2010-07-16,0.021897416561841965,-0.0011133423540741205,0,2010
2010-07-19,0.021560292690992355,-0.005750924814492464,0,2010
2010-07-20,0.021156683564186096,0.005528995767235756,0,2010
2010-07-21,0.02288886159658432,-0.013140441849827766,0,2010
2010-07-22,0.02047126740217209,0.0009739455417729914,0,2010
2010-07-23,0.019352199509739876,-0.0026981469709426165,0,2010
2010-07-26,0.021242208778858185,0.009082476608455181,0,2010
2010-07-27,0.019845470786094666,0.0014146440662443638,0,2010
2010-07-28,0.020040052011609077,-0.005803183652460575,0,2010
2010-07-29,0.020316829904913902,-0.004345139022916555,0,2010
2010-07-30,0.02049180306494236,-0.012078657746315002,0,2010
2010-08-02,0.02060442417860031,-0.003977918531745672,0,2010
2010-08-03,0.01963948830962181,-0.0016085682436823845,0,2010
2010-08-04,0.020741455256938934,0.0008445563726127148,0,2010
2010-08-05,0.019076639786362648,0.0012719981605187058,0,2010
2010-08-06,0.01985391415655613,-0.004104370251297951,0,2010
2010-08-09,0.022386040538549423,0.004821455106139183,0,2010
2010-08-10,0.02144533209502697,0.01069059781730175,0,2010
2010-08-11,0.022646090015769005,0.009891994297504425,0,2010
2010-08-12,0.022116858512163162,0.0010787728242576122,0,2010
2010-08-13,0.02184516191482544,-0.0017210700316354632,0,2010
2010-08-16,0.020863568410277367,-0.0037974617443978786,0,2010
2010-08-17,0.02000940963625908,-0.0007300364086404443,0,2010
2010-08-18,0.019454997032880783,0.004864100366830826,0,2010
2010-08-19,0.019871508702635765,0.0058348216116428375,0,2010
2010-08-20,0.020296113565564156,0.003112942446023226,0,2010
2010-08-23,0.01965346746146679,0.005794540513306856,0,2010
2010-08-24,0.020740119740366936,-0.0034305767621845007,0,2010
2010-08-25,0.021188780665397644,-0.0014978650724515319,0,2010
2010-08-26,0.021849574521183968,-0.006620206870138645,0,2010
2010-08-27,0.021163184195756912,0.0017724966164678335,0,2010
2010-08-30,0.020509282127022743,0.0062013547867536545,0,2010
2010-08-31,0.019847434014081955,-0.009845584630966187,0,2010
2010-09-01,0.018878880888223648,-0.0066008055582642555,0,2010
2010-09-02,0.01996738463640213,-0.0003470717929303646,0,2010
2010-09-03,0.019645506516098976,0.00015041005099192262,0,2010
2010-09-07,0.01932787336409092,0.0009597871685400605,0,2010
2010-09-08,0.019942324608564377,0.0019631024915724993,0,2010
2010-09-09,0.02065664529800415,-0.0049134837463498116,0,2010
2010-09-10,0.020949915051460266,-0.00556139275431633,0,2010
