,VaR_pred,loss_real,viol,year
2010-01-04,0.01746419072151184,-0.001400684122927487,0,2010
2010-01-05,0.01936999522149563,-0.00640800641849637,0,2010
2010-01-06,0.01194064226001501,0.0021468966733664274,0,2010
2010-01-07,0.02399887889623642,-0.0032343596685677767,0,2010
2010-01-08,0.011956732720136642,-0.003497055498883128,0,2010
2010-01-11,0.018475892022252083,0.008993388153612614,0,2010
2010-01-12,0.015100063756108284,0.00016848645464051515,0,2010
2010-01-13,0.014866712503135204,-0.0015270801959559321,0,2010
2010-01-14,0.015444841235876083,0.008526680059731007,0,2010
2010-01-15,0.013082470744848251,-0.004884980618953705,0,2010
2010-01-19,0.018684571608901024,0.012289252132177353,0,2010
2010-01-20,0.014070739969611168,0.009025524370372295,0,2010
2010-01-21,0.010681110434234142,0.010230769403278828,0,2010
2010-01-22,0.014977438375353813,-0.00362420198507607,0,2010
2010-01-25,0.014270279556512833,0.0023791873827576637,0,2010
2010-01-26,0.018774958327412605,0.005499556660652161,0,2010
2010-01-27,0.017614880576729774,0.003571793669834733,0,2010
2010-01-28,0.022386662662029266,0.004813417326658964,0,2010
2010-01-29,0.02067200094461441,-0.011087266728281975,0,2010
2010-02-01,0.02340679056942463,-0.013360830023884773,0,2010
2010-02-02,0.013217460364103317,0.004857221618294716,0,2010
2010-02-03,0.02581385336816311,0.026196617633104324,1,2010
2010-02-04,0.016996188089251518,0.007062164135277271,0,2010
2010-02-05,0.01796026900410652,-0.0021781274117529392,0,2010
2010-02-08,0.019967516884207726,-0.010528508573770523,0,2010
2010-02-09,0.02185509167611599,-0.0004899353953078389,0,2010
2010-02-10,0.029161332175135612,-0.006060844752937555,0,2010
2010-02-11,0.02171703428030014,0.004708557389676571,0,2010
2010-02-12,0.03284824639558792,-0.018960464745759964,0,2010
2010-02-16,0.018288925290107727,0.0016952933510765433,0,2010
2010-02-17,0.030067840591073036,-0.0026067718863487244,0,2010
2010-02-18,0.011467890813946724,-0.005295273382216692,0,2010
2010-02-19,0.018791183829307556,0.0011870861053466797,0,2010
2010-02-22,0.012273564003407955,0.00713774049654603,0,2010
2010-02-23,0.020925484597682953,-0.004026487469673157,0,2010
2010-02-24,0.02097763493657112,0.0023696287535130978,0,2010
2010-02-25,0.02160739339888096,-0.007651959545910358,0,2010
