Model,w,T,Expected Viol.,Violations,Violation Rate,VR Gap,Coverage Bias,Tick Loss,Winkler Score,Mean VaR Level,Max VaR Level,Min VaR Level,Mean VaR 2020,Max VaR 2020,n_negative_var,p_UC,UC Test,p_CC,CC Test,p_DQ,DQ Test,p_Mean,Valid(CC&DQ)
Softplus base w=1,1,3762,37.62000000000003,36,0.009569377990430622,0.00043062200956938725,-0.00043062200956938725,0.0002830109375593939,0.018417397112384954,0.018216947114648593,0.0300894156098365,0.0074033010751008,0.017325955213036384,0.0300894156098365,0,0.7891812934474971,PASS,0.016971950990587237,FAIL,0.0,FAIL,0.2687177481460281,NO
Softplus + ratios + shocks,1,3762,37.62000000000003,32,0.008506113769271665,0.0014938862307283442,-0.0014938862307283442,0.0002744768410244848,0.018857870650010287,0.01868409865621447,0.0283760800957679,0.0089854672551155,0.019035637018779077,0.0283760800957679,0,0.34458967091981607,PASS,0.060604706724251334,PASS,0.0,FAIL,0.13506479254802248,NO
Softplus + dynamic features + SiLU LayerNorm,1,3762,37.62000000000003,42,0.011164274322169059,0.00116427432216905,0.00116427432216905,0.00030244598227906964,0.022348129123835714,0.022188652889800035,0.0708487033843994,0.0065773054957389,0.027367299400358987,0.067909687757492,0,0.4810898464896908,PASS,0.6180555049159884,PASS,0.005803898350733916,FAIL,0.3683164165854711,NO
Softplus + conservative dynamic SiLU LayerNorm,1,3762,37.62000000000003,30,0.007974481658692184,0.0020255183413078245,-0.0020255183413078245,0.0003390642593625244,0.025393063551870668,0.025220867868756422,0.063142217695713,0.009949923492968,0.021302171311233572,0.0424387864768505,0,0.19555371900828866,PASS,0.0323862158165773,FAIL,0.0,FAIL,0.07597997827495533,NO
Softplus + downside shocks + stress memory,1,3762,37.62000000000003,25,0.006645401382243487,0.0033545986177565216,-0.0033545986177565216,0.00028346303859939367,0.020356426514718192,0.020195024337566026,0.0308739636093378,0.0080579472705721,0.0202039184078455,0.0308739636093378,0,0.027650708718455097,FAIL,0.032904899474288984,FAIL,0.0,FAIL,0.020185202730914693,NO
Softplus + dynamic SiLU LayerNorm + rolling winsor,1,3762,37.62000000000003,41,0.010898458266879319,0.0008984582668793099,0.0008984582668793099,0.0003033680227797141,0.02234927535634124,0.02218792164153115,0.07084328681230545,0.006598790641874075,0.027347714057659723,0.06794527173042297,0,0.5851135902256199,PASS,0.6643872908429092,PASS,0.0039745935114637865,FAIL,0.417825158193331,NO
