Model,year,T,Expected Viol.,Violations,Violation Rate,VR Gap,Tick Loss,Winkler Score,Mean VaR Level,Max VaR Level,Min VaR Level,Max Loss,Mean Loss,n_negative_var,p_UC,UC Test,p_CC,CC Test,p_DQ,DQ Test
Softplus + dynamic features,2010,252,2.5200000000000022,1,0.003968253968253968,0.006031746031746041,0.00023558404672900332,0.020602870125103135,0.020549787829319637,0.025518545880913734,0.01713251881301403,0.026196617633104324,-0.00038104320229750656,0,0.2731769603493013,PASS,0.5464228430806984,PASS,0.8185396561468661,PASS
Softplus + dynamic features,2011,252,2.5200000000000022,3,0.011904761904761904,0.0019047619047618952,0.00024132938871548163,0.0210387690334136,0.0209806871615232,0.026942970231175423,0.015816738829016685,0.026701759546995163,-0.00027719905145002284,0,0.7679687153509303,PASS,0.9232885919371185,PASS,0.9985400783055429,PASS
Softplus + dynamic features,2012,249,2.490000000000002,0,0.0,0.010000000000000009,0.00020594619800548875,0.020477199702557312,0.020477199702557312,0.0287946704775095,0.015292618423700333,0.019406957551836967,-0.00011742009799154878,0,,FAIL,,FAIL,,FAIL
Softplus + dynamic features,2013,251,2.5100000000000025,2,0.00796812749003984,0.0020318725099601684,0.000271547825272512,0.020722405611179433,0.020588419366761507,0.0296799223870039,0.015994487330317497,0.02981555461883545,6.595593819758825e-05,0,0.7373114985717543,PASS,0.9301763702882031,PASS,0.9993244432692044,PASS
Softplus + dynamic features,2014,252,2.5200000000000022,1,0.003968253968253968,0.006031746031746041,0.00021467324698287428,0.020230591412202417,0.020196059622639227,0.030682718381285667,0.01573222316801548,0.02523237094283104,0.0004380585077295484,0,0.2731769603493013,PASS,0.5464228430806984,PASS,0.8185396561468667,PASS
Softplus + dynamic features,2015,252,2.5200000000000022,1,0.003968253968253968,0.006031746031746041,0.00022167359310681204,0.022537616357557907,0.022535853982267397,0.03724076226353645,0.016622457653284073,0.019678598269820213,0.00045573224846636535,0,0.2731769603493013,PASS,0.5464228430806984,PASS,0.8185396561468666,PASS
Softplus + dynamic features,2016,250,2.500000000000002,0,0.0,0.010000000000000009,0.00022471333153662292,0.02206115496903658,0.02206115496903658,0.04251249134540558,0.01719406433403492,0.016854876652359962,-0.00041017818462569264,0,,FAIL,,FAIL,,FAIL
Softplus + dynamic features,2017,249,2.490000000000002,0,0.0,0.010000000000000009,0.00020718410780011864,0.02023248802346877,0.02023248802346877,0.02394557185471058,0.01621004194021225,0.014268964529037476,-0.0004859227565430777,0,,FAIL,,FAIL,,FAIL
Softplus + dynamic features,2018,250,2.500000000000002,0,0.0,0.010000000000000009,0.0002021046573084097,0.0205211780667305,0.0205211780667305,0.0275979433208704,0.015891626477241516,0.018188942223787308,0.0003107123358895478,0,,FAIL,,FAIL,,FAIL
Softplus + dynamic features,2019,251,2.5100000000000025,0,0.0,0.010000000000000009,0.0002222424859095795,0.021613246957916186,0.021613246957916186,0.03638104721903801,0.014859023503959179,0.018301527947187424,-0.0006110016330417437,0,,FAIL,,FAIL,,FAIL
Softplus + dynamic features,2020,251,2.5100000000000025,6,0.02390438247011952,0.013904382470119513,0.0008818026831002761,0.025655825053444343,0.024382277918734634,0.07366997748613358,0.013304420746862888,0.07843015342950821,-0.0007574072231624862,0,0.06037810014571887,PASS,0.05086022960740699,PASS,0.022357870120431778,FAIL
Softplus + dynamic features,2021,252,2.5200000000000022,1,0.003968253968253968,0.006031746031746041,0.00025024857267410335,0.02067451475320137,0.020593531185849792,0.024708107113838196,0.01713523268699646,0.03052397072315216,-0.00042263949765742475,0,0.2731769603493013,PASS,0.5464228430806984,PASS,0.8185396561468669,PASS
Softplus + dynamic features,2022,251,2.5100000000000025,3,0.01195219123505976,0.0019521912350597519,0.00023761649184882454,0.021564644976477105,0.021512714663587243,0.03249073028564453,0.016485311090946198,0.02679738961160183,0.00032161596675314827,0,0.7629803606411374,PASS,0.9213547061244108,PASS,0.9984789390534786,PASS
Softplus + dynamic features,2023,250,2.500000000000002,0,0.0,0.010000000000000009,0.0002088768448399789,0.020648438334465027,0.020648438334465027,0.02516423538327217,0.01694103144109249,0.01853187195956707,-0.00023924614953284618,0,,FAIL,,FAIL,,FAIL
Softplus + dynamic features,2024,250,2.500000000000002,0,0.0,0.010000000000000009,0.0002070229241087147,0.020379435770213603,0.020379435770213603,0.024536872282624245,0.016865279525518417,0.014374827034771442,-0.0003228566406578466,0,,FAIL,,FAIL,,FAIL
